"TH"	"index"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"On -1"	"On -2/-3"	"LST gauge algebra"
95	3	95	252	0	0	0	0	0	0	1	0	"s1:95→1"	""	"7 e8+e7+7 f5+14(g2+su(2))+so(7)+2 su(2)"
95	5	95	212	0	0	0	0	0	0	0	1	"s1:95→1"	""	"7 e8+8 f5+su(3)+15(g2+su(2))"
95	16	95	252	0	0	0	0	0	0	1	0	"s1:95→1"	""	"7 e8+e7+7 f5+14(g2+su(2))+so(7)+2 su(2)"
95	17	95	184	0	0	0	0	0	0	0	1	"s1:1→1"	""	"7 e8+8 f5+so(8)+su(3)+15(g2+su(2))"
95	21	95	134	0	0	0	0	1	0	0	0	"s1:1→1"	""	"8 e8+8 f5+su(3)+15(g2+su(2))"
95	21	95	160	0	0	0	1	0	0	0	0	"s1:1→1"	""	"8 e8+8 f5+su(3)+15(g2+su(2))"
95	21	95	184	0	0	1	0	0	0	0	0	"s1:1→1"	""	"8 e8+8 f5+su(3)+15(g2+su(2))"
95	21	95	204	0	1	0	0	0	0	0	0	"s1:1→1"	""	"8 e8+8 f5+su(3)+15(g2+su(2))"
95	21	95	211	1	0	0	0	0	0	0	0	""	"s1:2→1"	"8 e8+8 f5+su(3)+15(g2+su(2))"
95	21	97	211	1	0	0	0	0	0	0	0	"s1:1→1"	"s1:2→1"	"8 e8+8 f5+su(3)+15(g2+su(2))"
95	35	95	252	0	0	0	0	0	0	1	0	"s1:95→1"	""	"7 e8+e7+7 f5+14(g2+su(2))+so(7)+2 su(2)"
95	36	95	252	0	0	0	0	0	0	1	0	"s1:1→1"	""	"7 e8+e7+7 f5+14(g2+su(2))+so(7)+2 su(2)"
