"TH"	"index"	"LST gauge algebra"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"count"
81	2	"6 e8+7 f5+13(g2+su(2))"	81	239	0	1	0	0	0	0	1	0	2
81	4	"6 e8+7 f5+2 su(3)+12(g2+su(2))"	81	243	0	0	0	1	1	0	0	0	2
81	23	"6 e8+6 f5+so(8)+13(g2+su(2))"	86	147	1	1	0	0	0	0	0	1	3
81	23	"6 e8+6 f5+so(8)+13(g2+su(2))"	86	148	0	1	0	0	0	0	0	1	2
81	24	"7 e8+6 f5+13(g2+su(2))"	85	168	0	2	0	0	0	0	0	0	2
81	24	"7 e8+6 f5+13(g2+su(2))"	85	175	1	1	0	0	0	0	0	0	5
81	24	"7 e8+6 f5+13(g2+su(2))"	85	176	0	1	0	0	0	0	0	0	4
81	34	"6 e8+6 f5+so(8)+su(3)+13(g2+su(2))"	86	147	1	0	0	0	0	0	0	1	3
81	40	"7 e8+6 f5+su(3)+13(g2+su(2))"	85	168	0	1	0	0	0	0	0	0	2
81	40	"7 e8+6 f5+su(3)+13(g2+su(2))"	85	175	1	0	0	0	0	0	0	0	5
81	51	"11 e7+2 f5+4(g2+su(2))+10(so(7)+2 su(2))"	81	255	0	0	0	0	0	0	1	1	2
81	53	"5 e8+2 e7+6 f5+12(g2+su(2))+2(so(7)+2 su(2))"	81	163	0	0	0	0	0	1	1	0	2
81	53	"5 e8+2 e7+6 f5+12(g2+su(2))+2(so(7)+2 su(2))"	81	190	0	0	0	0	1	0	1	0	2
81	53	"5 e8+2 e7+6 f5+12(g2+su(2))+2(so(7)+2 su(2))"	81	216	0	0	0	1	0	0	1	0	2
81	53	"5 e8+2 e7+6 f5+12(g2+su(2))+2(so(7)+2 su(2))"	81	218	0	0	0	0	1	1	0	0	2
81	53	"5 e8+2 e7+6 f5+12(g2+su(2))+2(so(7)+2 su(2))"	81	240	0	0	1	0	0	0	1	0	2
81	53	"5 e8+2 e7+6 f5+12(g2+su(2))+2(so(7)+2 su(2))"	81	244	0	0	0	1	0	1	0	0	2
81	53	"5 e8+2 e7+6 f5+12(g2+su(2))+2(so(7)+2 su(2))"	81	268	0	0	0	0	0	0	1	0	3
