"TH"	"index"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"On -1"	"On -2/-3"	"LST gauge algebra"
19	1	24	155	2	2	0	0	0	0	0	0	"s1:19→1 / s2:1→1 / s3:1→1 / s4:1→2"	"s3:20→1 / s4:16→1"	"e8+2 f5+su(3)+2(g2+su(2))"
19	1	25	155	2	2	0	0	0	0	0	0	"{s1:19→1 / s2:1→1 / s3:1→1 / s4:1→3, s1:19→1 / s2:1→1 / s3:1→1 / s4:1→4}"	"{s3:20→1 / s4:16→1, s3:20→1 / s4:16→1}"	"e8+2 f5+su(3)+2(g2+su(2))"
19	1	26	155	2	2	0	0	0	0	0	0	"s1:19→1 / s2:1→1 / s3:1→1 / s4:1→5"	"s3:20→1 / s4:16→1"	"e8+2 f5+su(3)+2(g2+su(2))"
19	1	29	148	1	3	0	0	0	0	0	0	"s1:19→1 / s2:1→1 / s3:1→1 / s4:1→1"	"s4:20→1"	"e8+2 f5+su(3)+2(g2+su(2))"
19	4	37	148	0	3	0	1	0	0	0	0	"s1:1→1 / s2:19→1 / s3:19→1 / s4:19→1"	""	"e8+f5+3(g2+su(2))"
19	5	24	155	2	2	0	0	0	0	0	0	"s1:19→1 / s2:1→1 / s3:1→1 / s4:1→2"	"s3:20→1 / s4:16→1"	"e8+2 f5+su(3)+2(g2+su(2))"
19	5	25	155	2	2	0	0	0	0	0	0	"{s1:19→1 / s2:1→1 / s3:1→1 / s4:1→3, s1:19→1 / s2:1→1 / s3:1→1 / s4:1→4}"	"{s3:20→1 / s4:16→1, s3:20→1 / s4:16→1}"	"e8+2 f5+su(3)+2(g2+su(2))"
19	5	26	155	2	2	0	0	0	0	0	0	"s1:19→1 / s2:1→1 / s3:1→1 / s4:1→5"	"s3:20→1 / s4:16→1"	"e8+2 f5+su(3)+2(g2+su(2))"
19	5	29	148	1	3	0	0	0	0	0	0	"s1:19→1 / s2:1→1 / s3:1→1 / s4:1→1"	"s4:20→1"	"e8+2 f5+su(3)+2(g2+su(2))"
19	8	24	153	3	1	0	0	0	0	0	0	"{s1:19→1 / s2:2→1, s1:19→1 / s2:2→2}"	"{s2:16→1 / s3:1→1 / s4:1→1, s2:16→1 / s3:1→1 / s4:1→1}"	"e8+2 f5+2 su(3)+2(g2+su(2))"
19	8	25	153	3	1	0	0	0	0	0	0	"{s1:19→1 / s2:2→1, s1:19→1 / s2:2→2}"	"{s2:20→1 / s3:1→1 / s4:1→1, s2:20→1 / s3:1→1 / s4:1→1}"	"e8+2 f5+2 su(3)+2(g2+su(2))"
