"TH"	"index"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"On -1"	"On -2/-3"
25	1	33	65	0	3	0	0	0	0	0	1	"s1:1→1 / s2:25→1 / s3:25→1 / s4:25→1"	""
25	1	33	72	1	2	0	0	0	0	0	1	"{s1:1→1 / s2:25→1 / s3:25→1 / s4:25→1, s1:1→1 / s2:25→1 / s3:25→1 / s4:25→2, s1:1→1 / s2:25→1 / s3:25→1 / s4:25→3, s1:1→1 / s2:25→1 / s3:25→1 / s4:25→4, s1:1→1 / s2:25→1 / s3:25→1 / s4:25→5, s1:1→1 / s2:25→1 / s3:25→2 / s4:25→1, s1:1→1 / s2:25→1 / s3:25→2 / s4:25→1, s1:1→1 / s2:25→1 / s3:25→2 / s4:25→2, s1:1→1 / s2:25→1 / s3:25→2 / s4:25→3, s1:1→1 / s2:25→1 / s3:25→2 / s4:25→4, s1:1→1 / s2:25→1 / s3:25→3 / s4:25→1}"	"{s4:28→1, s4:28→1, s4:28→1, s4:28→1, s4:28→1, s4:27→1, s4:28→1, s4:27→1, s4:27→1, s4:27→1, s4:27→1}"
25	1	33	78	2	1	0	0	0	0	0	1	"{s1:1→1 / s2:25→1 / s3:25→1 / s4:25→1, s1:1→1 / s2:25→1 / s3:25→1 / s4:25→2, s1:1→1 / s2:25→1 / s3:25→1 / s4:25→3, s1:1→1 / s2:25→1 / s3:25→1 / s4:25→4, s1:1→1 / s2:25→1 / s3:25→1 / s4:25→5, s1:1→1 / s2:25→1 / s3:25→2 / s4:25→2, s1:1→1 / s2:25→1 / s3:25→2 / s4:25→3, s1:1→1 / s2:25→1 / s3:25→2 / s4:25→4, s1:1→1 / s2:25→1 / s3:25→2 / s4:25→5, s1:1→1 / s2:25→1 / s3:25→3 / s4:25→3, s1:1→1 / s2:25→1 / s3:25→3 / s4:25→4, s1:1→1 / s2:25→1 / s3:25→3 / s4:25→5, s1:1→1 / s2:25→1 / s3:25→4 / s4:25→4, s1:1→1 / s2:25→1 / s3:25→4 / s4:25→5, s1:1→1 / s2:25→1 / s3:25→5 / s4:25→5, s1:1→1 / s2:25→2 / s3:25→1 / s4:25→1}"	"{s3:27→1 / s4:27→1, s3:27→1 / s4:27→1, s3:27→1 / s4:27→1, s3:27→1 / s4:27→1, s3:27→1 / s4:27→1, s3:27→1 / s4:27→1, s3:27→1 / s4:27→1, s3:27→1 / s4:27→1, s3:27→1 / s4:27→1, s3:27→1 / s4:27→1, s3:27→1 / s4:27→1, s3:27→1 / s4:27→1, s3:27→1 / s4:27→1, s3:27→1 / s4:27→1, s3:27→1 / s4:27→1, s3:27→1 / s4:27→1}"
25	1	34	45	0	2	1	0	0	0	0	1	"s1:1→1 / s2:25→1 / s3:25→1 / s4:25→1"	""
25	1	34	52	1	1	1	0	0	0	0	1	"s1:1→1 / s2:25→1 / s3:25→1 / s4:25→1"	"s4:28→1"
25	1	34	65	0	3	0	0	0	0	0	1	"{s1:1→1 / s2:25→1 / s3:25→1 / s4:25→2, s1:1→1 / s2:25→1 / s3:25→1 / s4:25→3}"	""
25	1	161	195	1	1	1	0	0	1	0	0	"s1:1→1 / s2:25→1 / s3:25→1 / s4:25→1"	"s4:28→1"
25	1	161	215	1	2	0	0	0	1	0	0	"s1:1→1 / s2:25→1 / s3:25→1 / s4:25→1"	"s4:28→1"
25	1	164	208	0	3	0	0	0	1	0	0	"s1:1→1 / s2:25→1 / s3:25→1 / s4:25→2"	""
25	1	167	215	1	2	0	0	0	1	0	0	"{s1:1→1 / s2:25→1 / s3:25→1 / s4:1→1, 25→4, s1:1→1 / s2:25→1 / s3:25→2 / s4:25→1}"	"{s4:28→1, s4:27→1}"
25	1	168	221	2	1	0	0	0	1	0	0	"s1:1→1 / s2:25→1 / s3:25→1 / s4:25→1"	"s3:27→1 / s4:27→1"
25	1	169	208	0	3	0	0	0	1	0	0	"s1:1→1 / s2:25→1 / s3:25→1 / s4:25→3"	""
25	1	169	215	1	2	0	0	0	1	0	0	"s1:1→1 / s2:25→1 / s3:25→2 / s4:25→1"	"s4:28→1"
25	1	170	215	1	2	0	0	0	1	0	0	"{s1:1→1 / s2:25→1 / s3:25→1 / s4:25→2, s1:1→1 / s2:25→1 / s3:25→3 / s4:25→1}"	"{s4:28→1, s4:27→1}"
25	1	171	215	1	2	0	0	0	1	0	0	"s1:1→1 / s2:25→1 / s3:25→2 / s4:25→2"	"s4:27→1"
25	1	171	221	2	1	0	0	0	1	0	0	"{s1:1→1 / s2:25→1 / s3:25→1 / s4:25→2, s1:1→1 / s2:25→2 / s3:25→1 / s4:25→1}"	"{s3:27→1 / s4:27→1, s3:27→1 / s4:27→1}"
25	1	172	215	1	2	0	0	0	1	0	0	"s1:1→1 / s2:25→1 / s3:25→1 / s4:25→3"	"s4:28→1"
25	1	173	215	1	2	0	0	0	1	0	0	"{s1:1→1 / s2:25→1 / s3:25→1 / s4:25→4, s1:1→1 / s2:25→1 / s3:25→2 / s4:25→3}"	"{s4:28→1, s4:27→1}"
25	1	173	221	2	1	0	0	0	1	0	0	"{s1:1→1 / s2:25→1 / s3:25→1 / s4:25→3, s1:1→1 / s2:25→1 / s3:25→2 / s4:25→2}"	"{s3:27→1 / s4:27→1, s3:27→1 / s4:27→1}"
25	1	174	215	1	2	0	0	0	1	0	0	"{s1:1→1 / s2:25→1 / s3:25→1 / s4:25→5, s1:1→1 / s2:25→1 / s3:25→2 / s4:25→4}"	"{s4:28→1, s4:27→1}"
