"TH"	"index"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"On -1"	"On -2/-3"
79	5	81	241	0	1	0	0	0	0	1	0	"s1:79→1"	"s2:4→1"
79	5	83	126	0	1	0	0	0	0	0	1	"s1:79→1"	"s2:4→1"
79	6	81	189	0	0	0	1	0	0	1	0	"s1:79→1 / s2:1→1"	""
79	6	81	213	0	0	1	0	0	0	1	0	"s1:79→1 / s2:1→1"	""
79	6	81	217	0	0	0	1	0	1	0	0	"s1:79→1 / s2:1→1"	""
79	6	81	244	0	0	0	1	1	0	0	0	"s1:79→1 / s2:1→1"	""
79	6	82	233	0	1	0	0	0	0	1	0	"s1:79→1 / s2:1→1"	""
79	6	82	241	0	0	1	0	0	1	0	0	"s1:79→1 / s2:1→1"	""
79	14	81	232	1	0	0	0	0	0	1	0	"s1:79→1"	"s2:1→1"
79	30	83	241	0	0	1	0	1	0	0	0	"s1:1→1 / s2:79→1"	""
79	42	81	212	0	1	0	0	0	0	1	0	"s1:79→1"	"s2:1→1"
79	42	82	240	0	1	0	0	0	1	0	0	"s1:79→1"	"s2:1→1"
79	48	81	212	0	1	0	0	0	0	1	0	"s1:1→1"	"s2:79→1"
79	48	81	240	0	1	0	0	0	1	0	0	"s1:1→1"	"s2:79→1"
79	49	81	212	0	1	0	0	0	0	1	0	"s1:1→1"	"s2:79→1"
79	49	82	240	0	1	0	0	0	1	0	0	"s1:1→1"	"s2:79→1"
79	50	82	253	0	0	0	0	1	0	0	1	"s1:79→1 / s2:1→1"	""
79	52	81	243	0	0	0	2	0	0	0	0	"s1:79→1 / s2:1→1"	""
