"TH"	"index"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"On -1"	"On -2/-3"
79	1	80	135	0	0	0	0	0	0	0	1	"s1:1→1"	""
79	1	80	250	0	0	0	0	0	0	1	0	"s1:1→1"	""
79	2	80	135	0	0	0	0	0	0	0	1	"s1:1→1"	""
79	2	80	250	0	0	0	0	0	0	1	0	"s1:1→1"	""
79	5	80	135	0	0	0	0	0	0	0	1	"s1:79→1"	""
79	5	80	250	0	0	0	0	0	0	1	0	"s1:79→1"	""
79	6	80	241	0	0	0	0	0	0	1	0	"s1:79→1"	""
79	6	80	269	0	0	0	0	0	1	0	0	"s1:79→1"	""
79	10	80	271	0	0	0	1	0	0	0	0	"s1:1→1"	""
79	11	80	270	0	0	0	1	0	0	0	0	"s1:1→1"	""
79	14	80	233	0	0	0	0	0	0	1	0	"s1:79→1"	""
79	14	80	261	0	0	0	0	0	1	0	0	"s1:79→1"	""
79	16	80	135	0	0	0	0	0	0	0	1	"s1:1→1"	""
79	16	80	250	0	0	0	0	0	0	1	0	"s1:1→1"	""
79	17	80	232	0	0	0	0	0	0	1	0	"s1:1→1"	""
79	17	80	260	0	0	0	0	0	1	0	0	"s1:1→1"	""
79	30	80	269	0	0	0	0	1	0	0	0	"s1:1→1"	""
79	36	80	261	0	0	0	0	1	0	0	0	"s1:1→1"	""
79	40	80	221	0	0	0	0	0	0	1	0	"s1:79→1"	""
79	40	80	249	0	0	0	0	0	1	0	0	"s1:79→1"	""
79	42	80	221	0	0	0	0	0	0	1	0	"s1:79→1"	""
79	42	80	249	0	0	0	0	0	1	0	0	"s1:79→1"	""
79	48	80	221	0	0	0	0	0	0	1	0	"s1:1→1"	""
79	48	80	249	0	0	0	0	0	1	0	0	"s1:1→1"	""
79	49	80	221	0	0	0	0	0	0	1	0	"s1:1→1"	""
79	49	80	249	0	0	0	0	0	1	0	0	"s1:1→1"	""
