"TH"	"index"	"LST gauge algebra"	"full gauge algebra"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"count"
13	1	"2 f5+2 su(3)+g2+su(2)"	"2 f5+2 so(8)+su(3)+2(g2+su(2))"	16	191	1	0	2	0	0	0	0	0	5
13	1	"2 f5+2 su(3)+g2+su(2)"	"2 f5+2 su(3)+2(g2+su(2))"	13	239	1	1	0	0	0	0	0	0	2
13	1	"2 f5+2 su(3)+g2+su(2)"	"2 f5+2 su(3)+2(g2+su(2))"	14	239	1	1	0	0	0	0	0	0	4
13	1	"2 f5+2 su(3)+g2+su(2)"	"2 f5+3 su(3)+g2+su(2)"	13	240	0	1	0	0	0	0	0	0	3
13	1	"2 f5+2 su(3)+g2+su(2)"	"2 f5+so(8)+2 su(3)+g2+su(2)"	13	220	0	0	1	0	0	0	0	0	2
13	1	"2 f5+2 su(3)+g2+su(2)"	"2 f5+so(8)+3 su(3)+g2+su(2)"	13	212	0	1	1	0	0	0	0	0	2
13	1	"2 f5+2 su(3)+g2+su(2)"	"2 f5+su(3)+2(g2+su(2))"	13	247	1	0	0	0	0	0	0	0	2
13	1	"2 f5+2 su(3)+g2+su(2)"	"2 f5+su(3)+2(g2+su(2))"	18	247	1	0	0	0	0	0	0	0	4
13	1	"2 f5+2 su(3)+g2+su(2)"	"2 f5+su(3)+2(g2+su(2))"	20	247	1	0	0	0	0	0	0	0	3
13	1	"2 f5+2 su(3)+g2+su(2)"	"3 f5+2 su(3)+2(g2+su(2))"	16	187	1	1	0	1	0	0	0	0	4
13	1	"2 f5+2 su(3)+g2+su(2)"	"3 f5+2 su(3)+g2+su(2)"	13	196	0	0	0	1	0	0	0	0	2
13	1	"2 f5+2 su(3)+g2+su(2)"	"3 f5+2 su(3)+g2+su(2)+so(7)+2 su(2)"	17	185	2	1	0	1	0	0	0	0	2
13	1	"2 f5+2 su(3)+g2+su(2)"	"3 f5+3(g2+su(2))"	16	194	2	0	0	1	0	0	0	0	8
13	1	"2 f5+2 su(3)+g2+su(2)"	"3 f5+3 su(3)+g2+su(2)"	14	188	0	1	0	1	0	0	0	0	2
13	1	"2 f5+2 su(3)+g2+su(2)"	"3 f5+so(8)+2 su(3)+g2+su(2)"	15	168	0	0	1	1	0	0	0	0	2
13	1	"2 f5+2 su(3)+g2+su(2)"	"3 f5+so(8)+su(3)+2(g2+su(2))"	17	167	1	0	1	1	0	0	0	0	11
13	1	"2 f5+2 su(3)+g2+su(2)"	"3 f5+so(8)+su(3)+2(g2+su(2))"	18	167	1	0	1	1	0	0	0	0	6
13	1	"2 f5+2 su(3)+g2+su(2)"	"3 f5+so(8)+su(3)+2(g2+su(2))"	19	167	1	0	1	1	0	0	0	0	3
13	1	"2 f5+2 su(3)+g2+su(2)"	"4 f5+su(3)+2(g2+su(2))"	18	143	1	0	0	2	0	0	0	0	2
13	1	"2 f5+2 su(3)+g2+su(2)"	"4 f5+su(3)+2(g2+su(2))"	19	143	1	0	0	2	0	0	0	0	3
13	1	"2 f5+2 su(3)+g2+su(2)"	"4 f5+su(3)+2(g2+su(2))"	22	143	1	0	0	2	0	0	0	0	2
13	1	"2 f5+2 su(3)+g2+su(2)"	"e6+2 f5+2 su(3)+2(g2+su(2))"	17	161	1	1	0	0	1	0	0	0	10
13	1	"2 f5+2 su(3)+g2+su(2)"	"e6+2 f5+2 su(3)+2(g2+su(2))"	18	161	1	1	0	0	1	0	0	0	18
13	1	"2 f5+2 su(3)+g2+su(2)"	"e6+2 f5+2 su(3)+2(g2+su(2))"	19	161	1	1	0	0	1	0	0	0	2
13	1	"2 f5+2 su(3)+g2+su(2)"	"e6+2 f5+2 su(3)+2(g2+su(2))"	20	161	1	1	0	0	1	0	0	0	3
13	1	"2 f5+2 su(3)+g2+su(2)"	"e6+2 f5+2 su(3)+2(g2+su(2))"	23	161	1	1	0	0	1	0	0	0	4
13	1	"2 f5+2 su(3)+g2+su(2)"	"e6+2 f5+2 su(3)+g2+su(2)"	13	170	0	0	0	0	1	0	0	0	2
13	1	"2 f5+2 su(3)+g2+su(2)"	"e6+2 f5+2 su(3)+g2+su(2)+so(7)+2 su(2)"	18	159	2	1	0	0	1	0	0	0	2
13	1	"2 f5+2 su(3)+g2+su(2)"	"e6+2 f5+3(g2+su(2))"	17	168	2	0	0	0	1	0	0	0	5
13	1	"2 f5+2 su(3)+g2+su(2)"	"e6+2 f5+3(g2+su(2))"	18	168	2	0	0	0	1	0	0	0	6
13	1	"2 f5+2 su(3)+g2+su(2)"	"e6+2 f5+3(g2+su(2))"	19	168	2	0	0	0	1	0	0	0	2
