"TH"	"index"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"
4	1	10	96	2	2	0	0	0	0	0	0
4	1	10	97	2	2	0	0	0	0	0	0
4	1	10	98	1	2	0	0	0	0	0	0
4	1	10	98	2	2	0	0	0	0	0	0
4	1	10	99	0	2	0	0	0	0	0	0
4	1	10	99	1	2	0	0	0	0	0	0
4	1	10	105	2	1	0	0	0	0	0	0
4	1	10	107	0	1	0	0	0	0	0	0
4	1	10	107	1	1	0	0	0	0	0	0
4	1	11	68	2	2	1	0	0	0	0	0
4	1	11	70	1	2	1	0	0	0	0	0
4	1	11	71	0	2	1	0	0	0	0	0
4	1	11	71	1	2	1	0	0	0	0	0
4	1	11	72	0	2	1	0	0	0	0	0
4	1	11	77	2	1	1	0	0	0	0	0
4	1	11	79	1	1	1	0	0	0	0	0
4	1	11	80	0	1	1	0	0	0	0	0
4	1	11	82	1	4	0	0	0	0	0	0
4	1	11	83	0	4	0	0	0	0	0	0
4	1	11	87	3	3	0	0	0	0	0	0
4	1	11	88	2	3	0	0	0	0	0	0
4	1	11	89	2	3	0	0	0	0	0	0
4	1	11	90	1	3	0	0	0	0	0	0
4	1	11	90	2	3	0	0	0	0	0	0
4	1	11	91	0	3	0	0	0	0	0	0
4	1	11	91	1	3	0	0	0	0	0	0
4	1	11	92	0	3	0	0	0	0	0	0
4	1	11	96	2	2	0	0	0	0	0	0
4	1	11	96	3	2	0	0	0	0	0	0
4	1	11	97	2	2	0	0	0	0	0	0
4	1	11	98	1	2	0	0	0	0	0	0
4	1	11	98	2	2	0	0	0	0	0	0
4	1	11	99	0	2	0	0	0	0	0	0
4	1	11	99	1	2	0	0	0	0	0	0
4	1	11	100	0	2	0	0	0	0	0	0
4	1	11	105	2	1	0	0	0	0	0	0
4	1	11	107	0	1	0	0	0	0	0	0
4	1	11	107	1	1	0	0	0	0	0	0
4	1	11	108	0	1	0	0	0	0	0	0
4	1	12	38	1	3	0	1	0	0	0	0
4	1	12	44	2	2	0	1	0	0	0	0
4	1	12	46	1	2	0	1	0	0	0	0
4	1	12	47	0	2	0	1	0	0	0	0
4	1	12	47	1	2	0	1	0	0	0	0
4	1	12	48	0	2	0	1	0	0	0	0
4	1	12	53	2	1	0	1	0	0	0	0
4	1	12	55	0	1	0	1	0	0	0	0
4	1	12	55	1	1	0	1	0	0	0	0
4	1	12	56	0	1	0	1	0	0	0	0
4	1	12	62	1	3	1	0	0	0	0	0
4	1	12	63	0	3	1	0	0	0	0	0
4	1	12	68	2	2	1	0	0	0	0	0
4	1	12	70	1	2	1	0	0	0	0	0
4	1	12	71	1	2	1	0	0	0	0	0
4	1	12	72	0	2	1	0	0	0	0	0
4	1	12	77	2	1	1	0	0	0	0	0
4	1	12	79	0	1	1	0	0	0	0	0
4	1	12	79	1	1	1	0	0	0	0	0
