"TH"	"index"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"count"
84	1	84	220	0	0	0	0	0	1	1	0	2
84	1	84	247	0	0	0	0	1	0	1	0	2
84	1	85	273	0	0	0	1	0	0	1	0	2
84	1	87	193	1	2	0	0	0	0	0	1	11
84	1	87	194	0	2	0	0	0	0	0	1	6
84	1	87	199	2	1	0	0	0	0	0	1	8
84	1	87	201	1	1	0	0	0	0	0	1	11
84	1	87	202	0	1	0	0	0	0	0	1	4
84	2	85	273	1	0	0	0	0	0	1	0	11
84	2	88	158	1	0	0	0	0	0	0	1	5
84	9	86	233	1	1	0	0	0	0	1	0	5
84	9	86	234	0	1	0	0	0	0	1	0	4
84	9	86	254	0	2	0	0	0	1	0	0	2
84	9	86	261	1	1	0	0	0	1	0	0	5
84	9	86	262	0	1	0	0	0	1	0	0	4
84	9	87	226	0	2	0	0	0	0	1	0	2
84	12	84	240	0	1	0	0	0	0	1	0	2
84	12	85	268	0	1	0	0	0	1	0	0	2
84	21	84	244	0	0	0	1	1	0	0	0	2
84	21	85	268	0	0	1	0	1	0	0	0	2
84	21	86	260	0	1	1	0	1	0	0	0	2
84	21	86	267	1	0	1	0	1	0	0	0	2
84	21	87	272	0	3	0	0	1	0	0	0	2
84	25	87	194	1	2	0	0	0	0	0	0	5
84	25	87	195	0	2	0	0	0	0	0	0	3
84	25	87	200	2	1	0	0	0	0	0	0	2
84	25	87	201	2	1	0	0	0	0	0	0	6
84	25	87	202	1	1	0	0	0	0	0	0	21
84	25	87	203	0	1	0	0	0	0	0	0	4
84	25	87	210	1	0	0	0	0	0	0	0	5
84	25	88	182	1	0	1	0	0	0	0	0	2
84	35	85	261	1	0	0	0	0	1	0	0	5
84	35	86	226	0	1	0	0	0	0	1	0	2
84	35	86	233	1	0	0	0	0	0	1	0	5
84	35	86	254	0	1	0	0	0	1	0	0	2
84	39	85	259	1	0	0	0	0	1	0	0	3
84	39	86	231	1	0	0	0	0	0	1	0	3
84	40	85	267	1	0	0	0	1	0	0	0	2
