"TH"	"index"	"LST gauge algebra"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"On -1"	"On -2/-3"
12	1	"2 f5+2(g2+su(2))"	12	-22	0	0	0	0	0	0	0	1	"s1:12→1"	""
12	1	"2 f5+2(g2+su(2))"	12	93	0	0	0	0	0	0	1	0	"s1:12→1"	""
12	1	"2 f5+2(g2+su(2))"	12	121	0	0	0	0	0	1	0	0	"s1:12→1"	""
12	1	"2 f5+2(g2+su(2))"	12	148	0	0	0	0	1	0	0	0	"s1:12→1"	""
12	1	"2 f5+2(g2+su(2))"	12	174	0	0	0	1	0	0	0	0	"s1:12→1"	""
12	1	"2 f5+2(g2+su(2))"	12	198	0	0	1	0	0	0	0	0	"s1:12→1"	""
12	1	"2 f5+2(g2+su(2))"	12	218	0	1	0	0	0	0	0	0	"{s1:12→1, s1:1→1}"	""
12	1	"2 f5+2(g2+su(2))"	13	218	0	1	0	0	0	0	0	0	"s1:1→1, 12→1"	""
12	2	"2 f5+2 su(3)+g2+su(2)"	12	86	0	0	0	0	0	0	1	0	"s1:12→1"	""
12	2	"2 f5+2 su(3)+g2+su(2)"	12	114	0	0	0	0	0	1	0	0	"s1:12→1"	""
12	2	"2 f5+2 su(3)+g2+su(2)"	12	141	0	0	0	0	1	0	0	0	"{s1:12→1, s1:1→1}"	""
12	2	"2 f5+2 su(3)+g2+su(2)"	12	167	0	0	0	1	0	0	0	0	"{s1:12→1, s1:1→1}"	""
12	2	"2 f5+2 su(3)+g2+su(2)"	12	191	0	0	1	0	0	0	0	0	"{s1:12→1, s1:1→1}"	""
12	2	"2 f5+2 su(3)+g2+su(2)"	12	211	0	1	0	0	0	0	0	0	"{s1:12→1, s1:1→1}"	""
12	2	"2 f5+2 su(3)+g2+su(2)"	12	218	1	0	0	0	0	0	0	0	""	"s1:2→1"
12	2	"2 f5+2 su(3)+g2+su(2)"	13	211	0	1	0	0	0	0	0	0	"s1:1→1, 12→1"	""
12	2	"2 f5+2 su(3)+g2+su(2)"	13	218	1	0	0	0	0	0	0	0	"s1:12→1"	"s1:2→1"
12	2	"2 f5+2 su(3)+g2+su(2)"	14	191	0	0	1	0	0	0	0	0	"s1:1→1, 12→1"	""
12	2	"2 f5+2 su(3)+g2+su(2)"	15	167	0	0	0	1	0	0	0	0	"s1:1→1, 12→1"	""
12	2	"2 f5+2 su(3)+g2+su(2)"	16	141	0	0	0	0	1	0	0	0	"s1:1→1, 12→1"	""
12	2	"2 f5+2 su(3)+g2+su(2)"	17	218	1	0	0	0	0	0	0	0	"{s1:12→4, s1:12→5, s1:12→5, s1:1→1, s1:1→3, s1:1→4, s1:1→4, 12→1}"	"{s1:2→1, s1:2→1, s1:6→1, s1:2→1, s1:6→1, s1:6→1, s1:2→1}"
12	2	"2 f5+2 su(3)+g2+su(2)"	18	218	1	0	0	0	0	0	0	0	"s1:1→5"	"s1:6→1"
12	2	"2 f5+2 su(3)+g2+su(2)"	19	218	1	0	0	0	0	0	0	0	"{s1:1→2, s1:1→3}"	"{s1:2→1, s1:2→1}"
12	2	"2 f5+2 su(3)+g2+su(2)"	20	218	1	0	0	0	0	0	0	0	"{s1:1→4, s1:1→5}"	"{s1:2→1, s1:2→1}"
12	3	"0"	12	100	0	0	0	0	0	0	0	1	"s1:1→1"	""
12	3	"0"	12	215	0	0	0	0	0	0	1	0	"s1:1→1"	""
12	3	"0"	12	243	0	0	0	0	0	1	0	0	"{s1:1→1, s1:1→1, 12→1}"	""
12	3	"0"	12	270	0	0	0	0	1	0	0	0	"s1:1→1"	""
12	3	"0"	13	215	0	0	0	0	0	0	1	0	"s1:1→1, 12→1"	""
12	3	"0"	17	100	0	0	0	0	0	0	0	1	"s1:1→1, 12→1"	""
12	4	"2 f5+su(3)+g2+su(2)"	12	-21	0	0	0	0	0	0	0	1	"s1:12→1"	""
12	4	"2 f5+su(3)+g2+su(2)"	12	94	0	0	0	0	0	0	1	0	"s1:12→1"	""
12	4	"2 f5+su(3)+g2+su(2)"	12	122	0	0	0	0	0	1	0	0	"s1:12→1"	""
12	4	"2 f5+su(3)+g2+su(2)"	12	149	0	0	0	0	1	0	0	0	"s1:12→1"	""
12	4	"2 f5+su(3)+g2+su(2)"	12	175	0	0	0	1	0	0	0	0	"s1:12→1"	""
12	4	"2 f5+su(3)+g2+su(2)"	12	199	0	0	1	0	0	0	0	0	"s1:12→1"	""
12	4	"2 f5+su(3)+g2+su(2)"	12	218	0	1	0	0	0	0	0	0	""	"s1:1→1"
12	4	"2 f5+su(3)+g2+su(2)"	12	219	0	1	0	0	0	0	0	0	"s1:12→1"	""
12	4	"2 f5+su(3)+g2+su(2)"	13	218	0	1	0	0	0	0	0	0	"s1:12→1"	"s1:1→1"
12	4	"2 f5+su(3)+g2+su(2)"	17	226	1	0	0	0	0	0	0	0	"{s1:2→1, s1:2→2}"	"{s1:5→1, s1:5→1}"
12	4	"2 f5+su(3)+g2+su(2)"	18	226	1	0	0	0	0	0	0	0	"{s1:2→3, s1:2→4, s1:2→5}"	"{s1:5→1, s1:5→1, s1:5→1}"
12	5	"2 f5+2(g2+su(2))"	12	-22	0	0	0	0	0	0	0	1	"s1:12→1"	""
12	5	"2 f5+2(g2+su(2))"	12	93	0	0	0	0	0	0	1	0	"s1:12→1"	""
12	5	"2 f5+2(g2+su(2))"	12	121	0	0	0	0	0	1	0	0	"s1:12→1"	""
12	5	"2 f5+2(g2+su(2))"	12	148	0	0	0	0	1	0	0	0	"s1:12→1"	""
12	5	"2 f5+2(g2+su(2))"	12	174	0	0	0	1	0	0	0	0	"s1:12→1"	""
12	5	"2 f5+2(g2+su(2))"	12	198	0	0	1	0	0	0	0	0	"s1:12→1"	""
12	5	"2 f5+2(g2+su(2))"	12	218	0	1	0	0	0	0	0	0	"s1:12→1"	""
12	6	"f5+2(g2+su(2))"	12	30	0	0	0	0	0	0	0	1	"s1:1→1"	""
12	6	"f5+2(g2+su(2))"	12	145	0	0	0	0	0	0	1	0	"s1:1→1"	""
12	6	"f5+2(g2+su(2))"	12	173	0	0	0	0	0	1	0	0	"s1:1→1"	""
12	6	"f5+2(g2+su(2))"	12	200	0	0	0	0	1	0	0	0	"s1:1→1"	""
12	6	"f5+2(g2+su(2))"	12	226	0	0	0	1	0	0	0	0	"s1:1→1"	""
12	6	"f5+2(g2+su(2))"	12	250	0	0	1	0	0	0	0	0	"{s1:12→1, s1:1→1, 12→1}"	""
12	6	"f5+2(g2+su(2))"	12	270	0	1	0	0	0	0	0	0	"{s1:12→1, s1:1→1, 6→1, 12→1, s1:1→2, 6→1, 12→2, s1:6→1}"	""
12	6	"f5+2(g2+su(2))"	13	226	0	0	0	1	0	0	0	0	"s1:1→1, 12→1"	""
12	6	"f5+2(g2+su(2))"	14	200	0	0	0	0	1	0	0	0	"s1:1→1, 12→1"	""
12	6	"f5+2(g2+su(2))"	15	173	0	0	0	0	0	1	0	0	"s1:1→1, 12→1"	""
