"TH"	"index"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"
69	1	70	263	1	0	0	0	1	0	0	0
69	1	72	208	1	0	0	0	0	0	1	0
69	1	72	236	1	0	0	0	0	1	0	0
69	1	80	263	1	0	0	0	1	0	0	0
69	2	71	263	1	1	0	0	1	0	0	0
69	2	72	208	1	1	0	0	0	0	1	0
69	2	72	236	1	1	0	0	0	1	0	0
69	2	83	263	1	1	0	0	1	0	0	0
69	2	84	263	1	1	0	0	1	0	0	0
69	4	71	264	1	0	0	0	1	0	0	0
69	4	72	255	2	1	0	0	1	0	0	0
69	4	72	256	1	1	0	0	1	0	0	0
69	4	72	257	0	1	0	0	1	0	0	0
69	4	75	262	1	0	1	1	0	0	0	0
69	28	72	230	1	1	0	0	1	0	0	0
69	28	72	231	0	1	0	0	1	0	0	0
69	28	72	256	1	1	0	1	0	0	0	0
69	28	72	257	0	1	0	1	0	0	0	0
69	28	74	257	0	1	0	1	0	0	0	0
69	28	75	256	1	1	0	1	0	0	0	0
69	28	75	257	0	1	0	1	0	0	0	0
69	37	75	262	1	0	0	1	0	0	0	0
69	44	72	230	1	0	0	0	1	0	0	0
69	44	73	256	1	0	0	1	0	0	0	0
69	47	71	229	1	1	0	0	0	0	1	0
69	47	71	230	0	1	0	0	0	0	1	0
69	47	71	250	0	2	0	0	0	1	0	0
69	47	71	257	1	1	0	0	0	1	0	0
69	47	71	258	0	1	0	0	0	1	0	0
69	47	72	221	1	2	0	0	0	0	1	0
69	47	72	222	0	2	0	0	0	0	1	0
69	47	72	227	2	1	0	0	0	0	1	0
69	47	72	249	1	2	0	0	0	1	0	0
69	47	72	255	2	1	0	0	0	1	0	0
69	67	70	265	0	1	0	0	0	0	0	1
69	67	70	271	1	0	0	0	0	0	0	1
69	67	71	263	1	1	0	0	0	0	0	1
69	67	71	264	1	1	0	0	0	0	0	1
69	70	70	266	1	0	1	0	0	0	0	0
69	70	77	266	1	0	1	0	0	0	0	0
