"TH"	"index"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"
70	1	73	237	1	0	0	0	0	0	1	0
70	1	76	122	1	0	0	0	0	0	0	1
70	1	80	265	1	0	0	0	0	1	0	0
70	2	73	237	1	1	0	0	0	0	1	0
70	2	76	122	1	1	0	0	0	0	0	1
70	2	82	265	1	1	0	0	0	1	0	0
70	4	73	228	2	1	0	0	0	0	1	0
70	4	73	229	1	1	0	0	0	0	1	0
70	4	73	230	0	1	0	0	0	0	1	0
70	4	73	256	2	1	0	0	0	1	0	0
70	4	73	257	1	1	0	0	0	1	0	0
70	4	73	258	0	1	0	0	0	1	0	0
70	6	73	241	1	0	0	0	1	0	0	0
70	6	83	267	1	0	0	1	0	0	0	0
70	12	74	174	1	1	0	0	0	0	0	0
70	12	74	175	0	1	0	0	0	0	0	0
70	15	74	174	1	1	0	0	0	0	0	0
70	15	74	175	0	1	0	0	0	0	0	0
70	24	74	174	1	0	0	0	0	0	0	0
70	33	74	174	1	0	0	0	0	0	0	0
